
,Trade Date,,20191206

JPX Code,164120005
Instrument,FUT_TOPIX_1912
11788,ソシエテ・ジェネラル,Societe Generale,23002,11788,ソシエテ・ジェネラル,Societe Generale,20219
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,22172,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,17133
12800,モルガンスタンレー,Morgan Stanley MUFG,8889,12400,野村證券,Nomura Securities,7248
11714,ＪＰモルガン証券,JPMorgan Japan,3408,12792,メリルリンチ日本証券,Merrill Lynch Japan,4664
12410,バークレイズ証券,Barclays Japan,3339,11560,ゴールドマンサックス,Goldman Sachs Japan,3760
12792,メリルリンチ日本証券,Merrill Lynch Japan,3134,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,3381
11560,ゴールドマンサックス,Goldman Sachs Japan,2446,12800,モルガンスタンレー,Morgan Stanley MUFG,2844
12428,ＢＮＰパリバ証券,BNP Paribas (Japan),2390,12176,ドイツ証券,Deutsche Securities,2701
12400,野村證券,Nomura Securities,1456,12724,ＨＳＢＣ証券,HSBC (Japan),2512
11696,みずほ証券,Mizuho Securities,1393,11714,ＪＰモルガン証券,JPMorgan Japan,1910
11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,1071,11696,みずほ証券,Mizuho Securities,1875
12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,839,12410,バークレイズ証券,Barclays Japan,1379
12176,ドイツ証券,Deutsche Securities,688,11746,ＵＢＳ証券,UBS Securities Japan,1353
11635,クレディ・スイス証券,Credit Suisse Japan,489,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,1081
11746,ＵＢＳ証券,UBS Securities Japan,444,11792,シティグループ証券,Citigroup Japan,864
12000,大和証券,Daiwa Securities,425,11635,クレディ・スイス証券,Credit Suisse Japan,818
12336,日産証券,Nissan Securities,210,12000,大和証券,Daiwa Securities,664
12464,廣田証券,HIROTA SECURITIES,167,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),645
11792,シティグループ証券,Citigroup Japan,67,12336,日産証券,Nissan Securities,449
12896,豊証券,Yutaka Securities,62,12072,東海東京証券,Tokai Tokyo Sec,260

JPX Code,165030005
Instrument,FUT_TOPIX_2003
12400,野村證券,Nomura Securities,6489,12800,モルガンスタンレー,Morgan Stanley MUFG,8351
11788,ソシエテ・ジェネラル,Societe Generale,4452,11788,ソシエテ・ジェネラル,Societe Generale,6389
11560,ゴールドマンサックス,Goldman Sachs Japan,3246,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,5416
12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,3002,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),2000
12724,ＨＳＢＣ証券,HSBC (Japan),2500,12410,バークレイズ証券,Barclays Japan,1175
12792,メリルリンチ日本証券,Merrill Lynch Japan,2400,11714,ＪＰモルガン証券,JPMorgan Japan,973
11696,みずほ証券,Mizuho Securities,1348,11560,ゴールドマンサックス,Goldman Sachs Japan,608
11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,986,12176,ドイツ証券,Deutsche Securities,580
11792,シティグループ証券,Citigroup Japan,733,11696,みずほ証券,Mizuho Securities,514
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,701,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,391
12000,大和証券,Daiwa Securities,510,12400,野村證券,Nomura Securities,353
12336,日産証券,Nissan Securities,290,12792,メリルリンチ日本証券,Merrill Lynch Japan,186
12176,ドイツ証券,Deutsche Securities,187,12336,日産証券,Nissan Securities,82
11714,ＪＰモルガン証券,JPMorgan Japan,105,12464,廣田証券,HIROTA SECURITIES,28
12410,バークレイズ証券,Barclays Japan,33,11792,シティグループ証券,Citigroup Japan,10
11272,岡三証券,OKASAN SECURITIES,29,12000,大和証券,Daiwa Securities,10
12800,モルガンスタンレー,Morgan Stanley MUFG,22,11635,クレディ・スイス証券,Credit Suisse Japan,4
12072,東海東京証券,Tokai Tokyo Sec,15,12795,インタラクティブ証券,Interactive Brokers,3
12428,ＢＮＰパリバ証券,BNP Paribas (Japan),11,11746,ＵＢＳ証券,UBS Securities Japan,2
11512,光世証券,The Kosei Securities,10,11272,岡三証券,OKASAN SECURITIES,2
-,-,-,-,11512,光世証券,The Kosei Securities,2

JPX Code,164120018
Instrument,FUT_NK225_1912
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,12366,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,11588
11788,ソシエテ・ジェネラル,Societe Generale,12349,11788,ソシエテ・ジェネラル,Societe Generale,10736
12792,メリルリンチ日本証券,Merrill Lynch Japan,1862,12400,野村證券,Nomura Securities,5183
11560,ゴールドマンサックス,Goldman Sachs Japan,1621,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,4074
11714,ＪＰモルガン証券,JPMorgan Japan,1551,12792,メリルリンチ日本証券,Merrill Lynch Japan,2038
12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,1304,12800,モルガンスタンレー,Morgan Stanley MUFG,680
12410,バークレイズ証券,Barclays Japan,1253,11256,ＳＢＩ証券,SBI SECURITIES,647
12428,ＢＮＰパリバ証券,BNP Paribas (Japan),1040,11714,ＪＰモルガン証券,JPMorgan Japan,632
12400,野村證券,Nomura Securities,992,11060,ａｕカブコム証券,au Kabucom Securitie,480
11256,ＳＢＩ証券,SBI SECURITIES,972,12057,楽天証券,Rakuten Securities,474
11696,みずほ証券,Mizuho Securities,822,11635,クレディ・スイス証券,Credit Suisse Japan,433
12336,日産証券,Nissan Securities,783,12176,ドイツ証券,Deutsche Securities,409
11060,ａｕカブコム証券,au Kabucom Securitie,561,12336,日産証券,Nissan Securities,392
12057,楽天証券,Rakuten Securities,553,12560,松井証券,MATSUI SECURITIES,308
11746,ＵＢＳ証券,UBS Securities Japan,355,12072,東海東京証券,Tokai Tokyo Sec,256
11635,クレディ・スイス証券,Credit Suisse Japan,304,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),223
12560,松井証券,MATSUI SECURITIES,241,12410,バークレイズ証券,Barclays Japan,216
12330,マネックス証券,Monex,124,11696,みずほ証券,Mizuho Securities,198
12000,大和証券,Daiwa Securities,117,12000,大和証券,Daiwa Securities,139
12072,東海東京証券,Tokai Tokyo Sec,112,11746,ＵＢＳ証券,UBS Securities Japan,94

JPX Code,165030018
Instrument,FUT_NK225_2003
12400,野村證券,Nomura Securities,4426,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,2684
12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,3994,11788,ソシエテ・ジェネラル,Societe Generale,2250
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,1309,11560,ゴールドマンサックス,Goldman Sachs Japan,1245
11788,ソシエテ・ジェネラル,Societe Generale,817,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,1176
12792,メリルリンチ日本証券,Merrill Lynch Japan,648,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),1000
11256,ＳＢＩ証券,SBI SECURITIES,208,12410,バークレイズ証券,Barclays Japan,946
11060,ａｕカブコム証券,au Kabucom Securitie,158,11714,ＪＰモルガン証券,JPMorgan Japan,724
12560,松井証券,MATSUI SECURITIES,109,12792,メリルリンチ日本証券,Merrill Lynch Japan,644
12057,楽天証券,Rakuten Securities,64,11696,みずほ証券,Mizuho Securities,501
12800,モルガンスタンレー,Morgan Stanley MUFG,60,12400,野村證券,Nomura Securities,200
12336,日産証券,Nissan Securities,42,11060,ａｕカブコム証券,au Kabucom Securitie,120
12330,マネックス証券,Monex,29,12336,日産証券,Nissan Securities,108
11714,ＪＰモルガン証券,JPMorgan Japan,22,12072,東海東京証券,Tokai Tokyo Sec,72
