日付,始値,高値,安値,終値,出来高,売買代金
2008-12-30,2705.00,2725.00,2705.00,2725.00,1700,4614500
2008-12-29,2730.00,2745.00,2730.00,2730.00,4400,12027500
2008-12-26,2735.00,2740.00,2735.00,2735.00,2500,6847500
2008-12-25,2635.00,2690.00,2635.00,2690.00,600,1590000
2008-12-24,2605.00,2645.00,2605.00,2635.00,1300,3415500
2008-12-22,2580.00,2650.00,2580.00,2645.00,4500,11842000
2008-12-19,2565.00,2615.00,2565.00,2580.00,2000,5174500
2008-12-18,2600.00,2625.00,2530.00,2530.00,17500,44968500
2008-12-17,2655.00,2655.00,2580.00,2640.00,6900,18183500
2008-12-16,2630.00,2670.00,2615.00,2615.00,3600,9465000
2008-12-15,2525.00,2670.00,2525.00,2665.00,5200,13696500
2008-12-12,2550.00,2600.00,2505.00,2530.00,63000,160621500
2008-12-11,2600.00,2605.00,2555.00,2570.00,20200,52419500
2008-12-10,2630.00,2645.00,2560.00,2560.00,15600,40383500
2008-12-09,2630.00,2685.00,2590.00,2590.00,8700,22753000
2008-12-08,2575.00,2730.00,2575.00,2665.00,6300,16790500
2008-12-05,2660.00,2670.00,2590.00,2590.00,10100,26647000
2008-12-04,2590.00,2715.00,2590.00,2710.00,28200,74944000
2008-12-03,2570.00,2610.00,2520.00,2550.00,21500,55428000
2008-12-02,2545.00,2545.00,2470.00,2475.00,11300,28430500
2008-12-01,2580.00,2595.00,2540.00,2560.00,4100,10516500
2008-11-28,2510.00,2625.00,2510.00,2580.00,12800,32633500
2008-11-27,2515.00,2575.00,2515.00,2545.00,3400,8683000
2008-11-26,2530.00,2570.00,2520.00,2525.00,16100,40973500
2008-11-25,2585.00,2585.00,2495.00,2570.00,7600,19398500
2008-11-21,2505.00,2585.00,2505.00,2560.00,9000,22954000
2008-11-20,2600.00,2640.00,2585.00,2585.00,4100,10645500
2008-11-19,2580.00,2630.00,2580.00,2630.00,2800,7325000
2008-11-18,2540.00,2580.00,2540.00,2570.00,3300,8487500
2008-11-17,2505.00,2650.00,2500.00,2575.00,5400,13882500
